word,examCategory,cefrLevel,difficulty,partOfSpeech,level,frequency,tags
perceive,CSAT,B2,INTERMEDIATE,VERB,L1,88,"인식,심리"
pursue,CSAT,B2,INTERMEDIATE,VERB,L1,90,"추구,목표"
retain,CSAT,B2,INTERMEDIATE,VERB,L1,85,"유지,기억"
reveal,CSAT,B2,INTERMEDIATE,VERB,L1,92,"드러내다,발견"
sustain,CSAT,B2,INTERMEDIATE,VERB,L1,87,"유지,지속"
enhance,CSAT,B2,INTERMEDIATE,VERB,L1,91,"향상,개선"
crucial,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,94,"중요한,결정적"
significant,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,96,"중요한,의미있는"
diverse,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,89,"다양한,다른"
previous,CSAT,B1,BASIC,ADJECTIVE,L1,93,"이전의,앞선"
potential,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,91,"잠재적인,가능성"
complex,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,90,"복잡한,복합적"
essential,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,95,"필수적인,본질적"
particular,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,92,"특정한,특별한"
sufficient,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,86,"충분한,적절한"
consequence,CSAT,B2,INTERMEDIATE,NOUN,L1,88,"결과,영향"
environment,CSAT,B1,BASIC,NOUN,L1,97,"환경,상황"
perspective,CSAT,B2,INTERMEDIATE,NOUN,L1,85,"관점,시각"
proportion,CSAT,B2,INTERMEDIATE,NOUN,L1,82,"비율,부분"
phenomenon,CSAT,B2,INTERMEDIATE,NOUN,L1,84,"현상,사건"
strategy,CSAT,B2,INTERMEDIATE,NOUN,L1,91,"전략,방법"
structure,CSAT,B1,BASIC,NOUN,L1,93,"구조,구성"
principle,CSAT,B2,INTERMEDIATE,NOUN,L1,89,"원리,원칙"
evidence,CSAT,B2,INTERMEDIATE,NOUN,L1,94,"증거,근거"
contribute,CSAT,B2,INTERMEDIATE,VERB,L1,90,"기여하다,공헌하다"
demonstrate,CSAT,B2,INTERMEDIATE,VERB,L1,88,"보여주다,증명하다"
distinguish,CSAT,B2,INTERMEDIATE,VERB,L1,83,"구별하다,구분하다"
emphasize,CSAT,B2,INTERMEDIATE,VERB,L1,87,"강조하다,역설하다"
estimate,CSAT,B2,INTERMEDIATE,VERB,L1,86,"추정하다,평가하다"
evaluate,CSAT,B2,INTERMEDIATE,VERB,L1,89,"평가하다,가치를매기다"
generate,CSAT,B2,INTERMEDIATE,VERB,L1,88,"생성하다,만들어내다"
identify,CSAT,B2,INTERMEDIATE,VERB,L1,92,"확인하다,식별하다"
indicate,CSAT,B2,INTERMEDIATE,VERB,L1,91,"나타내다,가리키다"
interpret,CSAT,B2,INTERMEDIATE,VERB,L1,85,"해석하다,이해하다"
investigate,CSAT,B2,INTERMEDIATE,VERB,L1,84,"조사하다,연구하다"
involve,CSAT,B2,INTERMEDIATE,VERB,L1,93,"포함하다,관련시키다"
maintain,CSAT,B2,INTERMEDIATE,VERB,L1,90,"유지하다,주장하다"
obtain,CSAT,B2,INTERMEDIATE,VERB,L1,87,"얻다,획득하다"
occur,CSAT,B1,BASIC,VERB,L1,94,"발생하다,일어나다"
predict,CSAT,B2,INTERMEDIATE,VERB,L1,89,"예측하다,예언하다"
recognize,CSAT,B2,INTERMEDIATE,VERB,L1,91,"인식하다,알아보다"
reflect,CSAT,B2,INTERMEDIATE,VERB,L1,88,"반영하다,반사하다"
replace,CSAT,B1,BASIC,VERB,L1,92,"대체하다,교체하다"
represent,CSAT,B2,INTERMEDIATE,VERB,L1,90,"대표하다,나타내다"
require,CSAT,B1,BASIC,VERB,L1,95,"요구하다,필요로하다"
respond,CSAT,B1,BASIC,VERB,L1,93,"응답하다,반응하다"
restrict,CSAT,B2,INTERMEDIATE,VERB,L1,82,"제한하다,한정하다"
transform,CSAT,B2,INTERMEDIATE,VERB,L1,86,"변형시키다,바꾸다"
whereas,CSAT,B2,INTERMEDIATE,CONJUNCTION,L1,84,"반면에,~인데반하여"
